timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618569353526,1975,HTTP Request,200,OK,Thread Group 1-10,text,true,,387,371,10,10,https://petstore.swagger.io/v2/user,1967,0,1717
1618569352834,2665,HTTP Request,200,OK,Thread Group 1-3,text,true,,387,372,10,10,https://petstore.swagger.io/v2/user,2662,0,2408
1618569352795,2700,HTTP Request,200,OK,Thread Group 1-1,text,true,,387,370,10,10,https://petstore.swagger.io/v2/user,2699,0,2446
1618569352932,2572,HTTP Request,200,OK,Thread Group 1-4,text,true,,387,373,10,10,https://petstore.swagger.io/v2/user,2561,0,2312
1618569352795,2700,HTTP Request,200,OK,Thread Group 1-2,text,true,,387,371,10,10,https://petstore.swagger.io/v2/user,2698,0,2448
1618569353329,2166,HTTP Request,200,OK,Thread Group 1-8,text,true,,387,373,10,10,https://petstore.swagger.io/v2/user,2165,0,1912
1618569353036,2460,HTTP Request,200,OK,Thread Group 1-5,text,true,,387,370,10,10,https://petstore.swagger.io/v2/user,2458,0,2207
1618569353130,2365,HTTP Request,200,OK,Thread Group 1-6,text,true,,387,371,10,10,https://petstore.swagger.io/v2/user,2365,0,2112
1618569353429,2066,HTTP Request,200,OK,Thread Group 1-9,text,true,,387,370,10,10,https://petstore.swagger.io/v2/user,2065,0,1813
1618569353231,2274,HTTP Request,200,OK,Thread Group 1-7,text,true,,387,372,10,10,https://petstore.swagger.io/v2/user,2273,0,2011
1618569355577,238,HTTP Request,200,OK,Thread Group 1-4,text,true,,482,196,10,10,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,238,0,0
1618569355578,238,HTTP Request,200,OK,Thread Group 1-10,text,true,,482,196,10,10,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,238,0,0
1618569355582,237,HTTP Request,200,OK,Thread Group 1-1,text,true,,482,196,8,8,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,237,0,0
1618569355579,242,HTTP Request,200,OK,Thread Group 1-2,text,true,,482,196,7,7,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,242,0,0
1618569355584,239,HTTP Request,200,OK,Thread Group 1-3,text,true,,482,196,6,6,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,239,0,0
1618569355583,241,HTTP Request,200,OK,Thread Group 1-8,text,true,,482,196,6,6,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,236,0,0
1618569355587,240,HTTP Request,200,OK,Thread Group 1-9,text,true,,482,196,4,4,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,240,0,0
1618569355585,245,HTTP Request,200,OK,Thread Group 1-5,text,true,,482,196,3,3,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,244,0,0
1618569355589,243,HTTP Request,200,OK,Thread Group 1-7,text,true,,482,196,2,2,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,243,0,0
1618569355587,245,HTTP Request,200,OK,Thread Group 1-6,text,true,,482,196,1,1,https://petstore.swagger.io/v2/user/login?username=pp&password=12345,245,0,0
